file_name,cluster,pixel_count,centroid_x,centroid_y
JHH380_ROI004_filtered,Myeloid,576,547.2222222222222,501.41319444444446
JHH380_ROI004_filtered,Immune unassigned ,291,618.8865979381443,326.1786941580756
JHH380_ROI004_filtered,CD57,220,754.3090909090909,691.7227272727273
JHH383_ROI001_filtered,CAF,650691,550.2176993380883,553.2517923253895
JHH383_ROI001_filtered,CD4,40273,566.9465150348869,611.7845454771186
JHH383_ROI001_filtered,Myeloid,24138,549.4777529207059,501.8612975391499
JHH383_ROI001_filtered,Tumor,113381,512.9469752427656,506.7689207186389
JHH383_ROI001_filtered,B cell,4039,733.5446892795246,656.0757613270612
JHH383_ROI001_filtered,CD8,14871,538.4638558267769,607.1447112
JHH383_ROI001_filtered,CD57,26,882.5,836
JHH383_ROI001_filtered,Immune unassigned ,28,333.5,880.4285714285714
JHH388_ROI005_filtered,CAF,585638,487.6388161287348,502.0336573104887
JHH388_ROI005_filtered,Tumor,63084,474.6534779024792,480.78376450447024
JHH388_ROI005_filtered,Myeloid,129173,596.9627011836839,491.04475393464577
JHH388_ROI005_filtered,CD8,82121,451.42827047892746,539.9059071370295
JHH388_ROI005_filtered,CD4,124750,498.1930100200401,474.9990300601202
JHH388_ROI005_filtered,CD57,4061,275.70992366412213,562.1573504063039
JHH388_ROI005_filtered,B cell,7351,587.0254387,527.0389062712557
JHH388_ROI005_filtered,Immune unassigned ,248,307.4758064516129,382.14112903225805
JHH352_ROI002_filtered,Myeloid,28635,335.9571852627903,707.1600838135149
JHH352_ROI002_filtered,CD4,32995,345.7382331,493.88931656311564
JHH352_ROI002_filtered,B cell,3794,305.85714285714283,476.94280442804427
JHH352_ROI002_filtered,CD8,2008,351.46464143426294,743.9198207171315
JHH352_ROI002_filtered,CAF,46861,336.0213824,653.0187149228569
JHH352_ROI002_filtered,Immune unassigned ,397,338.7707808564232,656.5944584382871
JHH352_ROI002_filtered,Tumor,39511,367.0807370099466,532.8767938042571
JHH372_ROI001_filtered,CAF,1007095,555.3066334357732,537.6316802287769
JHH372_ROI001_filtered,Myeloid,774,687.1098191,197.97545219638243
JHH372_ROI001_filtered,Tumor,71776,553.7239467231386,522.3895870485957
JHH372_ROI001_filtered,CD4,102133,413.5941076831191,739.1420207
JHH372_ROI001_filtered,CD8,9001,601.7161426508166,709.5646039328964
JHH372_ROI001_filtered,Immune unassigned ,39,600.7179487179487,520.6923076923077
JHH372_ROI001_filtered,B cell,1429,611.5990202939118,758.4499650104968
JHH417_ROI001_filtered,CAF,689271,542.4715982538073,502.6631441044234
JHH417_ROI001_filtered,Myeloid,165646,409.6546249230286,469.70485251681293
JHH417_ROI001_filtered,B cell,17048,428.7138667292351,169.3737095260441
JHH417_ROI001_filtered,CD4,61692,465.9039097451858,633.2027491408935
JHH417_ROI001_filtered,Tumor,27799,348.6832260153243,545.5706680096406
JHH417_ROI001_filtered,CD8,35852,308.6337163896017,466.2369742273792
JHH417_ROI001_filtered,CD57,433,285.2840647,756.2286374
JHH417_ROI001_filtered,Immune unassigned ,178,795.3370786516854,262.15168539325845
JHH357_ROI005_filtered,CAF,366307,476.33610878306996,560.7237453829711
JHH357_ROI005_filtered,Tumor,27914,639.1996489216881,255.30769506340903
JHH357_ROI005_filtered,CD4,21196,414.2318833742215,632.2562275901114
JHH357_ROI005_filtered,CD8,7773,497.6473690981603,559.1379132895922
JHH357_ROI005_filtered,Myeloid,16402,578.0371905865138,929.1046213876357
JHH357_ROI005_filtered,B cell,2039,254.76017655713585,719.9985286905346
JHH357_ROI005_filtered,Immune unassigned ,141,525.1418439716313,430.4751773049645
JHH361_ROI004_filtered,CAF,100674,552.3398593479945,513.3142320758091
JHH361_ROI004_filtered,B cell,314,357.9171974522293,213.39490445859872
JHH361_ROI004_filtered,Tumor,5715,318.6852143482065,329.5956255468067
JHH361_ROI004_filtered,CD4,2117,619.4407179971658,519.1818611242325
JHH361_ROI004_filtered,Myeloid,391,558.4833759590792,470.6368286445013
JHH361_ROI004_filtered,CD8,388,328.58762886597935,348.0360824742268
JHH361_ROI004_filtered,Immune unassigned ,51,302.19607843137254,25.03921568627451
JHH368_ROI003_filtered,B cell,4569,815.5666447800394,415.32129568833443
JHH368_ROI003_filtered,CAF,758575,551.0487137,535.2734786
JHH368_ROI003_filtered,Tumor,141060,495.5597618034879,562.9019991492981
JHH368_ROI003_filtered,Myeloid,216581,562.0971645712227,614.7594941384517
JHH368_ROI003_filtered,CD4,31757,676.4058632742388,584.8383978335485
JHH368_ROI003_filtered,CD8,22450,681.9625389755012,534.0351893095768
JHH368_ROI003_filtered,CD57,14,492.7857142857143,617.1428571428571
JHH362_ROI001_filtered,Tumor,229669,634.0544958178945,568.0553884067941
JHH362_ROI001_filtered,CAF,171419,719.5306062921846,547.0571756923094
JHH362_ROI001_filtered,CD4,8221,760.5264566354458,493.3068969711714
JHH362_ROI001_filtered,CD8,1808,827.5254424778761,476.8484513274336
JHH362_ROI001_filtered,Myeloid,796,438.1997487437186,541.7223618090452
JHH362_ROI001_filtered,B cell,774,770.5917312661498,769.4870801033592
